,Year,District,Province,Spare,Length,Width,Amenities,Direction,Price
95,2022,4,1,80.0,16.0,5.0,0,0,9.4
96,2022,268,1,77.0,11.0,7.0,0,0,2.4
97,2022,18,1,54.0,10.8,5.0,0,0,4.1
98,2022,9,1,42.0,8.4,5.0,0,0,5.45
99,2022,268,1,35.0,7.0,5.0,0,0,1.29
100,2022,4,1,107.0,18.0,6.0,0,0,9.0
101,2022,16,1,50.0,11.0,4.6,0,0,1.01
102,2022,268,1,77.0,11.0,7.0,0,0,2.4
103,2022,18,1,110.0,22.0,5.0,0,0,12.0
104,2022,18,1,69.0,13.8,5.0,0,0,3.66
105,2022,17,1,63.0,5.0,13.0,1,0,1.13
106,2022,18,1,40.0,8.0,5.0,0,0,1.36
107,2022,4,1,45.0,9.0,5.0,0,0,5.4
108,2022,6,1,80.0,16.0,5.0,0,0,12.5
109,2022,17,1,40.0,10.0,4.0,0,0,1.1
110,2022,16,1,52.0,13.0,4.0,0,0,0.85
111,2022,9,1,450.0,90.0,5.0,0,0,27.5
112,2022,17,1,100.0,20.0,5.0,0,0,6.1
113,2022,17,1,43.0,12.0,4.0,0,0,1.6
114,2022,282,1,770.0,22.0,20.0,1,0,5.39
115,2022,274,1,75.0,12.5,6.0,0,0,6.25
116,2022,18,1,70.0,14.0,5.0,0,0,1.16
117,2022,282,1,415.0,29.0,13.0,1,2,6.5
118,2022,18,1,160.0,17.8,9.0,1,0,17.0
119,2022,1,1,90.0,18.0,5.0,0,0,1.3
120,2022,268,1,30.0,8.0,3.72,0,0,1.78
121,2022,4,1,53.0,13.0,4.0,1,0,3.29
122,2022,282,1,90.0,10.0,9.0,0,0,2.0
123,2022,17,1,43.0,11.0,4.0,0,0,1.4
124,2022,250,1,68.0,15.0,4.5,0,4,1.29
125,2022,268,1,68.0,12.4,5.5,0,0,6.7
126,2022,4,1,45.0,8.4,5.4,0,0,6.0
127,2022,5,1,250.0,25.0,10.0,0,0,0.2
128,2022,276,1,234.0,30.0,8.0,1,0,4.21
129,2022,16,1,75.0,15.0,5.0,0,0,0.88
130,2022,4,1,90.0,18.0,5.0,0,0,11.5
131,2022,18,1,30.0,6.0,5.0,0,0,1.5
132,2022,250,1,120.0,20.0,6.0,1,0,4.5
133,2022,6,1,150.0,30.0,5.0,0,0,49.0
134,2022,18,1,54.0,10.8,5.0,0,0,2.85
135,2022,5,1,250.0,25.0,10.0,0,0,0.2
136,2022,20,1,45.0,9.0,5.0,0,0,2.8
137,2022,276,1,125.0,25.0,5.0,0,0,2.5
138,2022,17,1,109.2,21.0,5.2,1,2,2.68
139,2022,4,1,35.0,11.0,3.2,0,0,2.35
140,2022,4,1,42.0,12.0,3.5,1,0,3.45
141,2022,17,1,71.0,14.0,5.0,0,0,2.6
142,2022,17,1,71.0,14.0,5.0,0,0,2.6
143,2022,276,1,140.0,23.0,6.0,0,0,2.5
144,2022,276,1,197.0,33.0,6.0,0,0,3.3
145,2022,4,1,232.0,27.95180722891566,8.3,0,0,5.9
146,2022,276,1,60.0,12.0,5.0,1,0,1.02
147,2022,276,1,494.0,48.0,10.0,1,0,7.4
148,2022,276,1,390.0,48.0,8.0,1,0,5.38
149,2022,6,1,150.0,21.428571428571427,7.0,0,0,42.0
150,2022,17,1,51.0,12.0,4.0,0,0,1.53
151,2022,17,1,46.0,11.0,4.0,0,0,1.79
152,2022,16,1,68.0,17.0,4.0,0,0,1.02
153,2022,274,1,110.0,22.0,5.0,0,0,4.0
154,2022,279,1,39.5,7.9,5.0,1,0,0.27
155,2022,2,1,1000.0,40.0,25.0,1,0,0.4
156,2022,282,1,132.0,22.0,6.0,1,0,0.9
157,2022,250,1,80.0,20.0,4.0,0,0,6.56
